,0,1,2
0,Afghanistan,0,"[0.22133333333333333, 1.0, 550.4926582081516, 2492.3727913073176, 19.460513814917174, '2020-02-19', 43]"
1,Albania,0,"[0.22133333333333333, 1.0, 588.7369143488555, 2636.697602309543, 43.05467597793028, '2020-02-19', 43]"
2,Algeria,0,"[0.25333333333333335, 1.0, 2064.366500664132, 9255.812462884884, 139.5027754310177, '2020-02-21', 41]"
3,Andorra,0,"[0.232, 1.0, 781.9223379018486, 3580.65297161724, 67.72761698328692, '2020-02-19', 43]"
4,Angola,0,"[0.2, 1.0, 9.31677410527461, 91.21114332890268, 16.870169035024905, '2020-02-27', 35]"
5,Antigua and Barbuda,0,"[0.2, 1.0, 12.264701917525477, 105.26769512307858, 16.074861402299003, '2020-02-27', 35]"
6,Argentina,0,"[0.25333333333333335, 1.0, 2237.042975722761, 10280.470063970464, 184.07174725578915, '2020-02-19', 43]"
7,Armenia,0,"[0.232, 1.0, 1303.859528022986, 5661.165738990491, 107.23140522692843, '2020-02-19', 43]"
8,Australia,Australian Capital Territory,"[0.2, 1.0, 160.16535765568625, 718.9898307309936, 13.870510585427601, '2020-02-22', 40]"
9,Australia,New South Wales,"[0.25333333333333335, 1.0, 4407.2598227094795, 18827.534797878077, 464.305544266255, '2020-02-19', 43]"
10,Australia,Northern Territory,"[0.2, 1.0, 32.518418519282285, 189.2553024041422, 12.129074629401625, '2020-02-27', 35]"
11,Australia,Queensland,"[0.232, 1.0, 1614.6838829579349, 6893.153222703869, 162.87083418378808, '2020-02-19', 43]"
12,Australia,South Australia,"[0.22133333333333333, 1.0, 676.3456366766833, 2988.9223526576548, 59.14095520674483, '2020-02-19', 43]"
13,Australia,Tasmania,"[0.2, 1.0, 160.73042714144884, 727.8202665717138, 6.9379649645101855, '2020-02-22', 40]"
14,Australia,Victoria,"[0.24266666666666667, 1.0, 1874.3719996383734, 8267.287468298524, 180.58506423954717, '2020-02-19', 43]"
15,Australia,Western Australia,"[0.22133333333333333, 1.0, 754.82421558361, 3295.9460724501478, 63.37274889056685, '2020-02-19', 43]"
16,Austria,0,"[0.2853333333333333, 1.0, 22043.202648924776, 93748.0863333829, 2645.4541505219026, '2020-02-19', 43]"
17,Azerbaijan,0,"[0.24266666666666667, 1.0, 951.032551508746, 4435.507472033445, 33.17079526302561, '2020-02-21', 41]"
18,Bahamas,0,"[0.2, 1.0, 43.20516387584212, 228.0902188827834, 10.36935757224989, '2020-02-27', 35]"
19,Bahrain,0,"[0.24266666666666667, 1.0, 1696.1231194019874, 7368.726111796229, 160.34245852771573, '2020-02-21', 41]"
20,Bangladesh,0,"[0.232, 1.0, 353.767741128911, 1662.3311895099885, 29.238517577531027, '2020-02-25', 37]"
21,Barbados,0,"[0.2, 1.0, 98.04419336993604, 443.8335318256393, 5.81194415380827, '2020-02-27', 35]"
22,Belarus,0,"[0.27466666666666667, 1.0, 1557.726758095569, 7333.4893019884885, 60.545212651314635, '2020-02-27', 35]"
23,Belgium,0,"[0.296, 1.0, 33284.03654378004, 142806.42675655917, 3292.2565315759957, '2020-02-19', 43]"
24,Belize,0,"[0.2, 1.0, 7.882628365592228, 38.17694566856449, 19.411668043568074, '2020-02-27', 35]"
25,Benin,0,"[0.2, 1.0, 25.17731580581377, 157.45885908666128, 13.69971361926742, '2020-02-27', 35]"
26,Bhutan,0,"[0.2, 1.0, 10.251392665658516, 28.257266581735028, 19.694460909140656, '2020-02-27', 35]"
27,Bolivia,0,"[0.21066666666666667, 1.0, 266.09071822916667, 1239.1171088941298, 9.515903686482666, '2020-02-19', 43]"
28,Bosnia and Herzegovina,0,"[0.232, 1.0, 1063.597831999548, 4719.165817780299, 63.279532763354396, '2020-02-19', 43]"
29,Botswana,0,"[0.2, 1.0, 9.310378023199817, 38.184492429130316, 19.655520435449375, '2020-02-27', 35]"
30,Brazil,0,"[0.296, 1.0, 18473.190295412453, 84555.54535016717, 1394.2033247088425, '2020-02-19', 43]"
31,Brunei,0,"[0.2, 1.0, 298.0853123415617, 1290.6374555292339, 31.406720273762563, '2020-02-19', 43]"
32,Bulgaria,0,"[0.232, 1.0, 897.2766641481692, 4061.9920177996933, 80.29130584885964, '2020-02-19', 43]"
33,Burkina Faso,0,"[0.22133333333333333, 1.0, 576.8525296967072, 2584.797764460635, 38.115168041661676, '2020-02-19', 43]"
34,Burma,0,"[0.2, 1.0, 31.946886704199226, 170.0600111459792, 13.338338576056055, '2020-02-27', 35]"
35,Burundi,0,"[0.2, 1.0, 16.749720380294512, 9.890566957807197, 21.06139375579767, '2020-02-27', 35]"
36,Cabo Verde,0,"[0.2, 1.0, 8.760069609025546, 45.49712446200946, 19.011004852340708, '2020-02-27', 35]"
37,Cambodia,0,"[0.2, 1.0, 227.65342336806074, 1019.7676125906413, 22.805612087252936, '2020-02-19', 43]"
38,Cameroon,0,"[0.232, 1.0, 742.8792527248268, 3445.838860491477, 46.2593717459518, '2020-02-19', 43]"
39,Canada,Alberta,"[0.24266666666666667, 1.0, 1895.5848558174873, 8343.727299889002, 141.3589933398437, '2020-02-19', 43]"
40,Canada,British Columbia,"[0.24266666666666667, 1.0, 2233.8279702484915, 9682.03331292192, 220.73877246345856, '2020-02-19', 43]"
41,Canada,Manitoba,"[0.21066666666666667, 1.0, 280.8300011029615, 1263.0470636090645, 16.738129256158146, '2020-02-21', 41]"
42,Canada,New Brunswick,"[0.2, 1.0, 156.26419695982494, 705.3950781080541, 10.302547423496252, '2020-02-22', 40]"
43,Canada,Newfoundland and Labrador,"[0.21066666666666667, 1.0, 302.66044822787194, 1370.9577518738795, 25.59313627677574, '2020-02-19', 43]"
44,Canada,Northwest Territories,"[0.2, 1.0, 15.042489782721473, 11.884030886739959, 20.666411576856035, '2020-02-27', 35]"
45,Canada,Nova Scotia,"[0.22133333333333333, 1.0, 425.62069204106893, 1926.196820156338, 16.993314146892473, '2020-02-21', 41]"
46,Canada,Ontario,"[0.27466666666666667, 1.0, 6086.915439195153, 28111.79912365331, 414.4956110107925, '2020-02-19', 43]"
47,Canada,Prince Edward Island,"[0.2, 1.0, 26.199903362971554, 161.78012796157014, 13.459610044170095, '2020-02-27', 35]"
48,Canada,Quebec,"[0.2853333333333333, 1.0, 11390.846374108867, 51803.207481315534, 867.9326829340312, '2020-02-19', 43]"
49,Canada,Saskatchewan,"[0.21066666666666667, 1.0, 375.38191635333214, 1665.473676567079, 26.618653118639628, '2020-02-19', 43]"
50,Canada,Yukon,"[0.2, 1.0, 9.219905177315773, 34.57481298137501, 19.55712217552984, '2020-02-27', 35]"
51,Central African Republic,0,"[0.2, 1.0, 7.7085954682690385, 42.24223537071037, 19.103502107497544, '2020-02-27', 35]"
52,Chad,0,"[0.2, 1.0, 5.123115377447178, 61.89139369377001, 18.23173788780533, '2020-02-27', 35]"
53,Chile,0,"[0.27466666666666667, 1.0, 7047.55990527565, 31887.614231769636, 564.4480423251888, '2020-02-19', 43]"
54,China,Anhui,"[0.24266666666666667, 4.0, 5070.452728168028, 20780.04549307994, 796.1602900368935, '2020-02-19', 26]"
55,China,Beijing,"[0.232, 4.0, 2473.3295000127973, 10236.072978500957, 365.46831969580626, '2020-02-19', 26]"
56,China,Chongqing,"[0.232, 4.0, 2945.7577466396624, 12095.643260780495, 454.9431667522593, '2020-02-19', 26]"
57,China,Fujian,"[0.22133333333333333, 4.0, 1594.8703926260428, 6584.484068197165, 234.83047132760382, '2020-02-19', 26]"
58,China,Gansu,"[0.2, 4.0, 617.4750012565162, 2548.277447803644, 85.53027049408766, '2020-02-19', 26]"
59,China,Guangdong,"[0.24266666666666667, 4.0, 7360.078270614535, 29792.418696146447, 1134.4384476776636, '2020-02-19', 26]"
60,China,Guangxi,"[0.21066666666666667, 4.0, 1300.1378138425994, 5306.891956766954, 192.48959938951222, '2020-02-19', 26]"
61,China,Guizhou,"[0.2, 4.0, 749.1701658535935, 3066.652522484886, 108.62120875904432, '2020-02-19', 26]"
62,China,Hainan,"[0.21066666666666667, 4.0, 843.6306212726204, 3509.9905982708947, 127.5135519912939, '2020-02-19', 26]"
63,China,Hebei,"[0.22133333333333333, 4.0, 1619.6355628890842, 6681.968146923798, 245.13357154463205, '2020-02-19', 26]"
64,China,Heilongjiang,"[0.232, 4.0, 2546.1489726752293, 10522.720670097995, 366.2353225189116, '2020-02-19', 26]"
65,China,Henan,"[0.24266666666666667, 4.0, 6602.045139048908, 26808.667544820244, 1025.0206974912967, '2020-02-19', 26]"
66,China,Hong Kong,"[0.24266666666666667, 4.0, 1768.6374573452515, 7783.24146173649, 185.8548814341598, '2020-02-19', 26]"
67,China,Hubei,"[0.296, 1.0, 358334.0837178244, 1422300.5932060364, 63006.278312419, '2020-02-19', 26]"
68,China,Hunan,"[0.24266666666666667, 4.0, 5220.03385366643, 21368.825740330656, 817.6882202408206, '2020-02-19', 26]"
69,China,Inner Mongolia,"[0.2, 2.333333333333333, 451.0193231965134, 1895.586211167657, 53.071710481931134, '2020-02-19', 26]"
70,China,Jiangsu,"[0.232, 4.0, 3274.0070719837927, 13387.706690364259, 500.03073565379816, '2020-02-19', 26]"
71,China,Jiangxi,"[0.24266666666666667, 4.0, 4777.0913782790285, 19625.311358413903, 753.8100132791453, '2020-02-19', 26]"
72,China,Jilin,"[0.2, 4.0, 470.54623291140484, 1969.9408693273183, 68.35659724001688, '2020-02-19', 26]"
73,China,Liaoning,"[0.2, 4.0, 659.1455078262313, 2712.3004035343183, 92.22122412382033, '2020-02-19', 26]"
74,China,Macau,"[0.2, 1.0, 111.37622316303221, 503.0907081323838, 11.928421181223886, '2020-02-27', 34]"
75,China,Ningxia,"[0.2, 1.0, 377.3354857381017, 1561.1967243105871, 53.92741791369421, '2020-02-25', 32]"
76,China,Qinghai,"[0.2, 1.0, 75.35027310399362, 360.9389066803365, 19.303786790469307, '2020-02-27', 34]"
77,China,Shaanxi,"[0.21066666666666667, 4.0, 1280.2854784907465, 5228.749067805398, 188.52595092325205, '2020-02-19', 26]"
78,China,Shandong,"[0.232, 4.0, 3925.7016429126406, 15952.88968201557, 598.409964560057, '2020-02-19', 26]"
79,China,Shanghai,"[0.232, 4.0, 2060.9447532144704, 8612.860692364453, 293.8142659778284, '2020-02-19', 26]"
80,China,Shanxi,"[0.2, 3.333333333333333, 703.9640116961041, 2889.5712049628714, 97.361849167424, '2020-02-19', 26]"
81,China,Sichuan,"[0.232, 4.0, 2763.834955197356, 11379.582772647302, 425.6017152234037, '2020-02-19', 26]"
82,China,Tianjin,"[0.21066666666666667, 4.0, 744.464046868484, 3119.6598229153237, 105.13293073203609, '2020-02-19', 26]"
83,China,Tibet,"[0.2, 1.0, 18.733935447970392, 20.25284071674702, 21.039247525486125, '2020-02-27', 34]"
84,China,Xinjiang,"[0.2, 1.0, 384.946508327886, 1591.1569741128199, 55.13168881293604, '2020-02-25', 32]"
85,China,Yunnan,"[0.21066666666666667, 4.0, 893.8479031771543, 3707.6656667821517, 132.2427560276852, '2020-02-19', 26]"
86,China,Zhejiang,"[0.24266666666666667, 4.0, 6375.024171996676, 25915.05658351845, 984.3285044473914, '2020-02-19', 26]"
87,Colombia,0,"[0.25333333333333335, 1.0, 2542.551310473902, 11475.601003567144, 136.21045391342435, '2020-02-19', 43]"
88,Congo (Brazzaville),0,"[0.2, 1.0, 56.07551308325296, 279.4536907929743, 7.967300811948685, '2020-02-27', 35]"
89,Congo (Kinshasa),0,"[0.21066666666666667, 1.0, 245.437075821823, 1123.8703682734235, 11.925743880590137, '2020-02-21', 41]"
90,Costa Rica,0,"[0.232, 1.0, 813.953788298411, 3627.541456663714, 65.82889194422843, '2020-02-21', 41]"
91,Cote d'Ivoire,0,"[0.22133333333333333, 1.0, 468.2199022638214, 2149.6972039688703, 15.456618346834473, '2020-02-19', 43]"
92,Croatia,0,"[0.24266666666666667, 1.0, 1988.9846788145217, 8717.215114278999, 158.8155715465137, '2020-02-19', 43]"
93,Cuba,0,"[0.232, 1.0, 562.9023822492376, 2589.2260872963475, 16.963512171488368, '2020-02-22', 40]"
94,Cyprus,0,"[0.232, 1.0, 732.4891839707268, 3304.2209317763413, 44.739848817778515, '2020-02-21', 41]"
95,Czechia,0,"[0.27466666666666667, 1.0, 7514.506647828943, 33725.92177669088, 824.2764128770535, '2020-02-19', 43]"
96,Denmark,Faroe Islands,"[0.21066666666666667, 1.0, 345.637406644122, 1554.075839188695, 38.09545099016148, '2020-02-19', 43]"
97,Denmark,Greenland,"[0.2, 1.0, 10.787801397053235, 81.4840479758665, 17.196218974409355, '2020-02-27', 35]"
98,Denmark,0,"[0.27466666666666667, 1.0, 7886.975397431684, 35188.019884859146, 863.7544255222609, '2020-02-19', 43]"
99,Diamond Princess,0,"[0.296, 1.0, 3390.032935845792, 14540.265566929487, 470.4789414557153, '2020-02-19', 43]"
100,Djibouti,0,"[0.21066666666666667, 1.0, 149.12471771929998, 682.9529154621684, 12.899696865820275, '2020-02-25', 37]"
101,Dominica,0,"[0.2, 1.0, 13.854254255779438, 102.94465562464103, 16.29825003314184, '2020-02-27', 35]"
102,Dominican Republic,0,"[0.25333333333333335, 1.0, 2768.704785129036, 12371.949967949831, 166.71327960859125, '2020-02-19', 43]"
103,Ecuador,0,"[0.27466666666666667, 1.0, 6368.535825725822, 29217.567139437986, 487.06806408719217, '2020-02-19', 43]"
104,Egypt,0,"[0.25333333333333335, 1.0, 2270.6783921064402, 10068.52360785611, 158.95125945960123, '2020-02-21', 41]"
105,El Salvador,0,"[0.2, 1.0, 109.58245886903165, 500.4610920087611, 6.012964520354233, '2020-02-24', 38]"
106,Equatorial Guinea,0,"[0.2, 1.0, 20.57110022242075, 140.02674563622358, 14.505041898113356, '2020-02-27', 35]"
107,Eritrea,0,"[0.2, 1.0, 33.9499005242205, 183.4926158000816, 12.550368781971455, '2020-02-27', 35]"
108,Estonia,0,"[0.24266666666666667, 1.0, 1854.3812854529301, 8185.249934476861, 174.15777666229187, '2020-02-19', 43]"
109,Eswatini,0,"[0.2, 1.0, 7.725120327484894, 77.79725168821525, 17.41965060677534, '2020-02-27', 35]"
110,Ethiopia,0,"[0.2, 1.0, 78.62358224069855, 370.0427350128456, 3.678801919956758, '2020-02-27', 35]"
111,Fiji,0,"[0.2, 1.0, 6.663986279779119, 77.2877049884061, 17.503568494026357, '2020-02-27', 35]"
112,Finland,0,"[0.25333333333333335, 1.0, 3729.493968783512, 16159.233108309883, 326.288510242603, '2020-02-19', 43]"
113,France,French Guiana,"[0.2, 1.0, 117.0954682386345, 540.5388264905033, 5.3524529351344174, '2020-02-24', 38]"
114,France,French Polynesia,"[0.2, 1.0, 85.53726900576542, 397.2204324770683, 7.420928165154762, '2020-02-27', 35]"
115,France,Guadeloupe,"[0.2, 1.0, 236.18285863386188, 1042.646105835116, 20.454678775060575, '2020-02-19', 43]"
116,France,Martinique,"[0.2, 1.0, 243.39940120815425, 1077.0697446657318, 18.7030634606505, '2020-02-19', 43]"
117,France,Mayotte,"[0.21066666666666667, 1.0, 222.91172272961543, 1015.2536327345334, 12.70227361183436, '2020-02-22', 40]"
118,France,New Caledonia,"[0.2, 1.0, 22.940336175861038, 146.10831258170052, 14.258254489754266, '2020-02-27', 35]"
119,France,Reunion,"[0.22133333333333333, 1.0, 498.0375862884862, 2274.7259802663307, 41.80356198349751, '2020-02-19', 43]"
120,France,Saint Barthelemy,"[0.2, 1.0, 10.848107184514387, 51.1784374898069, 18.341089535685494, '2020-02-27', 35]"
121,France,St Martin,"[0.2, 1.0, 37.542812736171534, 209.7621121623519, 11.071374980943908, '2020-02-27', 35]"
122,France,0,"[0.296, 1.0, 166026.56953537514, 665346.6259941551, 27429.071255276853, '2020-02-19', 43]"
123,Gabon,0,"[0.2, 1.0, 39.19246323888288, 213.1511776101905, 11.059389810354654, '2020-02-27', 35]"
124,Gambia,0,"[0.2, 1.0, 10.481366063239546, 26.43708162583421, 19.86800428951569, '2020-02-27', 35]"
125,Georgia,0,"[0.21066666666666667, 1.0, 307.60694143647885, 1409.933252273428, 16.629360649357956, '2020-02-19', 43]"
126,US,Georgia,"[0.2853333333333333, 1.0, 10960.118785733508, 50072.79169074683, 782.0675052061142, '2020-02-19', 43]"
127,US,Alabama,"[0.264, 1.0, 3017.6756556943205, 13706.143219737507, 154.49784479584966, '2020-02-21', 41]"
128,US,Alaska,"[0.21066666666666667, 1.0, 272.50005708708323, 1255.572294685907, 15.26685546998096, '2020-02-19', 43]"
129,US,Arizona,"[0.264, 1.0, 3662.924227864154, 16255.665664603985, 266.52660011957533, '2020-02-21', 41]"
130,US,Arkansas,"[0.24266666666666667, 1.0, 1308.2942172370601, 6023.238255696867, 90.81225346274498, '2020-02-19', 43]"
131,US,California,"[0.296, 1.0, 22786.200622880675, 101497.78199148331, 2060.2403542462894, '2020-02-19', 43]"
132,US,Colorado,"[0.27466666666666667, 1.0, 7043.839398954059, 31853.107003115278, 587.8688188188991, '2020-02-19', 43]"
133,US,Connecticut,"[0.2853333333333333, 1.0, 9191.263759845708, 43092.88186399357, 615.252529142947, '2020-02-19', 43]"
134,US,Delaware,"[0.25333333333333335, 1.0, 1251.750894899087, 5777.425011181818, 30.041354412412378, '2020-02-23', 39]"
135,US,District of Columbia,"[0.25333333333333335, 1.0, 1607.3004466133311, 7440.711537350796, 71.79940353553224, '2020-02-21', 41]"
136,US,Florida,"[0.296, 1.0, 27648.292611876786, 120623.16845483771, 2814.8865227110714, '2020-02-19', 43]"
137,US,Guam,"[0.2, 1.0, 155.8453245470407, 725.4767741784904, 9.743016294163382, '2020-02-19', 43]"
138,US,Hawaii,"[0.22133333333333333, 1.0, 518.7114102809776, 2358.1941278875865, 29.587155227614534, '2020-02-19', 43]"
139,US,Idaho,"[0.24266666666666667, 1.0, 1350.7643210973588, 6176.502365703207, 89.33058601175546, '2020-02-19', 43]"
140,US,Illinois,"[0.296, 1.0, 18879.503752552457, 82581.07155881719, 1410.0475723951197, '2020-02-21', 41]"
141,US,Indiana,"[0.27466666666666667, 1.0, 6541.814616084383, 29878.79606863849, 401.7438812327369, '2020-02-19', 43]"
142,US,Iowa,"[0.24266666666666667, 1.0, 1359.4021037401533, 6228.394732732783, 53.50182571429519, '2020-02-19', 43]"
143,US,Kansas,"[0.24266666666666667, 1.0, 1250.1646954322443, 5601.362147723519, 62.1338511617261, '2020-02-21', 41]"
144,US,Kentucky,"[0.24266666666666667, 1.0, 1605.6939079397077, 7198.124249306221, 67.7978628601263, '2020-02-19', 43]"
145,US,Louisiana,"[0.296, 1.0, 18368.319080384277, 83989.44676914431, 1539.6652361569418, '2020-02-19', 43]"
146,US,Maine,"[0.232, 1.0, 755.3243906289736, 3387.3697630302872, 50.02029618242378, '2020-02-21', 41]"
147,US,Maryland,"[0.27466666666666667, 1.0, 5914.264961834562, 27407.608053475524, 231.00409765809894, '2020-02-19', 43]"
148,US,Massachusetts,"[0.296, 1.0, 20234.972898174794, 91386.38489043785, 1328.7522553760423, '2020-02-19', 43]"
149,US,Michigan,"[0.296, 1.0, 23113.87498314368, 102723.61111218962, 1928.2466536687355, '2020-02-19', 43]"
150,US,Minnesota,"[0.24266666666666667, 1.0, 1561.4616763505915, 7023.995763932795, 93.08919217261035, '2020-02-19', 43]"
151,US,Mississippi,"[0.25333333333333335, 1.0, 2574.258083408496, 11584.791979807673, 149.02046698356935, '2020-02-19', 43]"
